frequency_mhz,qualification,mapping,refill_grant_words,duration_us,deadline_misses,incomplete_frames,minimum_read_deadline_slack_us,dq_util_pct,effective_mb_s,writer_max_wait_us,frame_write_max_wait_us,audio_write_max_wait_us,unserved_words,dq_turnarounds,activates,command_util_pct
100,board-acceptance,chip-row-bank-column,32,1000.0,0,0,35.66,94.878,189.756,324.29,324.29,1.11,15906,3459,746,13.603
100,board-acceptance,chip-row-bank-column,64,1000.0,0,0,35.58,96.453,192.906,295.42,295.42,1.11,14331,1735,745,13.798
100,board-acceptance,chip-row-bank-column,128,1000.0,0,0,34.43,97.406,194.812,277.36,277.36,1.11,13378,869,741,13.909
100,board-acceptance,chip-row-bank-column,1024,1000.0,0,0,18.14,98.056,196.112,254.84,254.84,1.11,12728,115,682,13.873
100,board-acceptance,linear,8,1000.0,0,0,36.55,82.883,165.766,541.35,541.35,3.59,27901,6807,347,11.309
100,board-acceptance,linear,16,1000.0,0,0,36.47,91.209,182.418,390.83,390.83,2.56,19575,6721,353,12.362
100,board-acceptance,linear,32,1000.0,0,0,36.17,94.726,189.452,327.04,327.04,2.13,16058,3455,360,12.815
100,board-acceptance,linear,256,1000.0,0,0,32.12,97.614,195.228,272.0,272.0,1.11,13170,431,351,13.159
100,board-acceptance,linear,512,1000.0,0,0,27.51,97.816,195.632,265.35,265.35,1.11,12968,215,334,13.15
100,board-acceptance,linear,1024,1000.0,0,0,18.24,97.893,195.786,257.71,257.71,1.11,12891,107,310,13.112
100,board-acceptance,row-bank-chip-column,8,1000.0,3244,0,-7.28,98.489,196.978,225.06,225.06,1.11,12295,190,925,14.41
100,board-acceptance,row-chip-bank-column,8,1000.0,3340,0,-7.25,98.451,196.902,225.87,225.87,1.11,12333,188,924,14.403
100,board-acceptance,stripe-1k-chip-bank,8,1000.0,3284,0,-7.25,98.322,196.644,229.18,229.18,1.11,12462,259,1156,14.851
120,board-acceptance,chip-row-bank-column,32,1000.0,0,0,35.891666666666666,92.29333333333334,221.504,35.766666666666666,35.766666666666666,0.925,32,3334,441,12.484166666666667
120,board-acceptance,chip-row-bank-column,64,1000.0,0,0,35.666666666666664,92.26666666666667,221.44,34.708333333333336,34.708333333333336,0.925,64,1672,419,12.444166666666666
120,board-acceptance,chip-row-bank-column,128,1000.0,0,0,34.425,92.21333333333334,221.312,33.6,33.6,0.925,128,840,398,12.4025
120,board-acceptance,linear,8,1000.0,0,0,36.625,87.31083333333333,209.546,145.64166666666668,145.64166666666668,2.025,6011,12291,369,11.740833333333333
120,board-acceptance,linear,16,1000.0,0,0,36.53333333333333,91.4925,219.582,54.858333333333334,54.858333333333334,1.675,993,6899,372,12.268333333333333
120,board-acceptance,linear,32,1000.0,0,0,36.225,92.29333333333334,221.504,35.925,35.925,1.4916666666666667,32,3328,368,12.3625
120,board-acceptance,linear,128,1000.0,0,0,34.50833333333333,92.21333333333334,221.312,33.71666666666667,33.71666666666667,0.925,128,832,359,12.3375
120,board-acceptance,linear,256,1000.0,0,0,32.18333333333333,92.10666666666667,221.056,32.43333333333333,32.43333333333333,0.925,256,416,356,12.32
120,board-acceptance,linear,512,1000.0,0,0,27.566666666666666,91.89333333333333,220.544,30.491666666666667,30.491666666666667,0.925,512,208,338,12.263333333333334
120,board-acceptance,linear,1024,1000.0,0,0,18.275,91.46666666666667,219.52,26.691666666666666,26.691666666666666,0.925,1024,116,302,12.15
120,board-acceptance,row-bank-chip-column,8,1000.0,0,0,27.175,92.31333333333333,221.552,34.0,34.0,0.925,8,6488,497,12.58
120,board-acceptance,row-bank-chip-column,16,1000.0,0,0,27.175,92.30666666666667,221.536,33.90833333333333,33.90833333333333,0.925,16,5326,499,12.5825
120,board-acceptance,row-bank-chip-column,32,1000.0,0,0,27.175,92.29333333333334,221.504,33.75833333333333,33.75833333333333,0.925,32,3044,412,12.435833333333333
120,board-acceptance,row-bank-chip-column,64,1000.0,0,0,27.175,92.26666666666667,221.44,33.56666666666667,33.56666666666667,0.925,64,1558,404,12.419166666666667
120,board-acceptance,row-bank-chip-column,128,1000.0,0,0,27.175,92.21333333333334,221.312,33.00833333333333,33.00833333333333,0.925,128,798,389,12.3875
120,board-acceptance,row-bank-chip-column,256,1000.0,0,0,27.175,92.10666666666667,221.056,31.85,31.85,0.925,256,412,385,12.368333333333334
120,board-acceptance,row-bank-chip-column,512,1000.0,0,0,27.175,91.89333333333333,220.544,29.95,29.95,0.925,512,212,364,12.306666666666667
120,board-acceptance,row-bank-chip-column,1024,1000.0,0,0,18.25,91.46666666666667,219.52,26.241666666666667,26.241666666666667,0.925,1024,118,316,12.173333333333334
120,board-acceptance,row-chip-bank-column,8,1000.0,0,0,27.183333333333334,92.31333333333333,221.552,34.425,34.425,0.925,8,6266,495,12.576666666666666
120,board-acceptance,row-chip-bank-column,16,1000.0,0,0,27.183333333333334,92.30666666666667,221.536,34.175,34.175,0.925,16,5202,497,12.579166666666667
120,board-acceptance,row-chip-bank-column,32,1000.0,0,0,27.183333333333334,92.29333333333334,221.504,34.00833333333333,34.00833333333333,0.925,32,3038,412,12.435833333333333
120,board-acceptance,row-chip-bank-column,64,1000.0,0,0,27.183333333333334,92.26666666666667,221.44,33.74166666666667,33.74166666666667,0.925,64,1554,404,12.419166666666667
120,board-acceptance,row-chip-bank-column,128,1000.0,0,0,27.183333333333334,92.21333333333334,221.312,33.30833333333333,33.30833333333333,0.925,128,796,390,12.389166666666666
