frequency_mhz,qualification,mapping,refill_grant_words,duration_us,deadline_misses,incomplete_frames,minimum_read_deadline_slack_us,dq_util_pct,effective_mb_s,writer_max_wait_us,frame_write_max_wait_us,audio_write_max_wait_us,unserved_words,dq_turnarounds,activates,command_util_pct
100,board-acceptance,chip-row-bank-column,8,1000.0,0,0,35.66,82.547,165.094,547.43,547.43,1.11,28237,6765,735,12.04
100,board-acceptance,chip-row-bank-column,16,1000.0,0,0,35.66,91.103,182.206,392.61,392.61,1.11,19681,6725,741,13.121
100,board-acceptance,chip-row-bank-column,32,1000.0,0,0,35.66,94.878,189.756,324.29,324.29,1.11,15906,3459,746,13.603
100,board-acceptance,chip-row-bank-column,64,1000.0,0,0,35.58,96.453,192.906,295.42,295.42,1.11,14331,1735,745,13.798
100,board-acceptance,chip-row-bank-column,128,1000.0,0,0,34.43,97.406,194.812,277.36,277.36,1.11,13378,869,741,13.909
100,board-acceptance,chip-row-bank-column,256,1000.0,0,0,22.54,96.376,192.752,294.31,294.31,1.11,14408,423,730,13.759
100,board-acceptance,chip-row-bank-column,512,1000.0,0,0,16.61,97.238,194.476,275.79,275.79,1.11,13546,219,716,13.839
100,board-acceptance,chip-row-bank-column,1024,1000.0,0,0,18.14,98.056,196.112,254.84,254.84,1.11,12728,115,682,13.873
100,board-acceptance,linear,8,1000.0,0,0,36.55,82.883,165.766,541.35,541.35,3.59,27901,6807,347,11.309
100,board-acceptance,linear,16,1000.0,0,0,36.47,91.209,182.418,390.83,390.83,2.56,19575,6721,353,12.362
100,board-acceptance,linear,32,1000.0,0,0,36.17,94.726,189.452,327.04,327.04,2.13,16058,3455,360,12.815
100,board-acceptance,linear,64,1000.0,0,0,35.57,96.365,192.73,297.01,297.01,1.11,14419,1727,357,13.014
100,board-acceptance,linear,128,1000.0,0,0,34.43,97.245,194.49,280.26,280.26,1.11,13539,863,354,13.118
100,board-acceptance,linear,256,1000.0,0,0,32.12,97.614,195.228,272.0,272.0,1.11,13170,431,351,13.159
100,board-acceptance,linear,512,1000.0,0,0,27.51,97.816,195.632,265.35,265.35,1.11,12968,215,334,13.15
100,board-acceptance,linear,1024,1000.0,0,0,18.24,97.893,195.786,257.71,257.71,1.11,12891,107,310,13.112
100,board-acceptance,row-bank-chip-column,8,1000.0,3244,0,-7.28,98.489,196.978,225.06,225.06,1.11,12295,190,925,14.41
100,board-acceptance,row-bank-chip-column,16,1000.0,3411,0,-7.28,88.386,176.772,408.0,408.0,1.11,22398,127,938,13.173
100,board-acceptance,row-bank-chip-column,32,1000.0,3341,0,-7.28,86.832,173.664,435.78,435.78,1.11,23952,119,937,12.976
