frequency_mhz,qualification,mapping,format,width,height,bits_per_pixel,mode,background_direction,deadline_guard_cycles,deadline_guard_us,background_offered_mb_s,safe,mandatory_deadline_misses,mandatory_min_service_pct,background_service_pct,published_frames,failed_captures,replay_safe_frames,replay_underruns,video_min_slack_us,video_max_wait_us,audio_deadline_misses,effective_mb_s,dq_util_pct,observed_idle_mb_s,unserved_words,dq_turnarounds,activates
130.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,capture,read,2048,15.753846153846155,8.0,1,0,100.0,100.0,1,0,0,0,10.246153846153845,20.00769230769231,0,257.21599914338435,98.92923043976322,2.784000856615648,0,1033,8274
130.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,capture,read,2048,15.753846153846155,10.0,0,3131,96.0,98.1567926271705,0,1,0,0,-17.384615384615383,48.253846153846155,8,258.6689595904491,99.48806138094196,1.3310404095508952,4559,1141,15173
130.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,capture,read,2048,15.753846153846155,12.0,0,6056,96.5,90.112,0,1,0,0,-111.26153846153846,142.13076923076923,7,258.6615195881599,99.48519984159995,1.3384804118401268,21288,1047,15270
130.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,capture,write,2048,15.753846153846155,8.0,1,0,100.0,100.0,1,0,0,0,9.73076923076923,21.130769230769232,0,257.21599914338435,98.92923043976322,2.784000856615648,0,399,8261
130.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,capture,write,2048,15.753846153846155,10.0,0,2,99.97699652777777,93.94597578390314,0,1,0,0,0.2692307692307692,26.853846153846153,0,258.55339955489217,99.44361521342006,1.4466004451078294,5522,399,17211
130.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,capture,write,2048,15.753846153846155,12.0,0,2,99.97699652777777,78.112,0,1,0,0,0.2692307692307692,26.253846153846155,0,258.5322795483937,99.43549213399758,1.4677204516062927,22365,399,17723
130.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,replay,read,2048,15.753846153846155,8.0,1,0,99.98326581790124,100.0,0,0,1,0,11.015384615384615,3.3692307692307693,0,257.1738843478702,98.91303244148855,2.826115652129766,347,336,8200
130.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,replay,read,2048,15.753846153846155,10.0,0,0,99.9516300154321,96.19238476953907,0,0,1,0,5.907692307692308,8.561538461538461,0,258.71491960459065,99.50573830945794,1.2850803954093524,4176,202,12927
130.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,replay,read,2048,15.753846153846155,12.0,0,0,99.5,79.208,0,0,1,0,5.923076923076923,8.546153846153846,0,258.6508395848737,99.48109214802835,1.3491604151262815,21377,154,13323
130.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,replay,write,2048,15.753846153846155,8.0,1,0,99.98558063271605,99.8769987699877,0,0,1,0,11.023076923076923,3.4076923076923076,0,257.1698043541472,98.91146321313352,2.8301956458528523,381,1634,8504
130.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,replay,write,2048,15.753846153846155,10.0,0,0,99.95061728395062,93.89917559670239,0,0,1,0,5.930769230769231,8.538461538461538,0,258.48307953325525,99.41656905125201,1.5169204667447589,6108,877,15052
130.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,replay,write,2048,15.753846153846155,12.0,0,0,99.95293209876543,78.368,0,0,1,0,5.884615384615385,8.584615384615384,0,258.5031195394214,99.42427674593131,1.4968804605786032,22608,806,16077
