frequency_mhz,qualification,mapping,format,width,height,bits_per_pixel,mode,background_direction,deadline_guard_cycles,deadline_guard_us,background_offered_mb_s,safe,mandatory_deadline_misses,mandatory_min_service_pct,background_service_pct,published_frames,failed_captures,replay_safe_frames,replay_underruns,video_min_slack_us,video_max_wait_us,audio_deadline_misses,effective_mb_s,dq_util_pct,observed_idle_mb_s,unserved_words,dq_turnarounds,activates
130.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,2048,15.753846153846155,142.0,1,0,100.0,100.0,1,0,0,0,23.392307692307693,39.83076923076923,0,252.97603783878088,97.2984760918388,7.023962161219126,0,10982,8806
130.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,2048,15.753846153846155,144.0,1,0,100.0,100.0,1,0,0,0,21.407692307692308,39.76923076923077,0,254.97607845417798,98.06772248237615,5.023921545822014,0,11078,9017
130.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,2048,15.753846153846155,146.0,1,0,100.0,100.0,1,0,0,0,21.423076923076923,42.3,0,256.97599906953815,98.83692271905315,3.024000930461825,0,10650,10001
130.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,2048,15.753846153846155,148.0,0,1630,99.60959201388889,99.88154050852447,0,1,0,0,-41.99230769230769,111.43846153846154,0,258.3689594981414,99.37267673005438,1.631040501858616,5059,7383,15435
130.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,2048,15.753846153846155,150.0,0,2657,99.58051215277777,98.63168,0,1,0,0,-42.8,112.23846153846154,0,258.45967952605525,99.40756904848278,1.5403204739447611,20970,6025,15359
130.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,2048,15.753846153846155,142.0,1,0,100.0,100.0,1,0,0,0,19.66923076923077,40.40769230769231,0,252.97603783878088,97.2984760918388,7.023962161219126,0,399,8519
130.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,2048,15.753846153846155,144.0,1,0,100.0,100.0,1,0,0,0,19.66923076923077,42.4,0,254.97607845417798,98.06772248237615,5.023921545822014,0,399,8684
130.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,2048,15.753846153846155,146.0,1,0,100.0,100.0,1,0,0,0,19.66923076923077,41.784615384615385,0,256.97599906953815,98.83692271905315,3.024000930461825,0,399,9182
130.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,2048,15.753846153846155,148.0,1,0,100.0,99.91008105677867,1,0,0,0,2.7,60.55384615384615,0,258.8426012464294,99.5548466332421,1.157398753570573,1109,399,15385
130.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,2048,15.753846153846155,150.0,0,2,99.94878472222223,98.53104,0,1,0,0,2.2615384615384615,67.57692307692308,0,258.71599960492296,99.50615369420113,1.2840003950770447,18834,399,17669
130.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,2048,15.753846153846155,142.0,1,0,99.97222222222223,100.0,0,0,1,0,27.715384615384615,2.9615384615384617,0,252.94531782932856,97.28666070358791,7.0546821706714375,256,336,8438
130.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,2048,15.753846153846155,144.0,1,0,99.97222222222223,99.99575,0,0,1,0,13.26923076923077,3.3,0,254.93888545043106,98.05341748093502,5.061114549568947,307,336,8563
130.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,2048,15.753846153846155,146.0,1,0,99.95627170138889,100.0,0,0,1,0,18.484615384615385,5.2384615384615385,0,256.9276390546582,98.81832271333006,3.0723609453418295,403,336,8921
130.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,2048,15.753846153846155,148.0,1,0,99.93283420138889,100.0,0,0,1,0,8.092307692307692,23.315384615384616,0,258.9016401689784,99.57755391114556,1.0983598310215645,619,336,10237
130.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,2048,15.753846153846155,150.0,0,0,99.83854166666667,98.89856,0,0,1,0,4.338461538461538,30.7,0,259.14535973703374,99.67129220655144,0.8546402629662347,15256,224,15083
130.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,2048,15.753846153846155,142.0,1,0,99.97222222222223,100.0,0,0,1,0,29.423076923076923,2.5923076923076924,0,252.94531782932856,97.28666070358791,7.0546821706714375,256,8787,8540
130.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,2048,15.753846153846155,144.0,1,0,99.97222222222223,99.99666666666667,0,0,1,0,29.253846153846155,2.8615384615384616,0,254.9402054490095,98.05392517269597,5.059794550990484,296,8881,8663
130.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,2048,15.753846153846155,146.0,1,0,99.96592881944444,99.9893150626384,0,0,1,0,26.607692307692307,7.453846153846154,0,256.9227190531443,98.81643040505551,3.077280946855676,444,8608,9113
130.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,2048,15.753846153846155,148.0,1,0,99.94444444444444,99.6268647640175,0,0,1,0,15.569230769230769,19.476923076923075,0,258.3623594961106,99.37013826773484,1.6376405038893858,5114,8039,14098
130.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,2048,15.753846153846155,150.0,0,0,99.96495225694444,98.30592,0,0,1,0,14.953846153846154,19.43846153846154,0,258.3957224681193,99.38297018004587,1.60427753188072,21499,7552,14873
