frequency_mhz,qualification,mapping,format,width,height,bits_per_pixel,mode,background_direction,deadline_guard_cycles,deadline_guard_us,background_offered_mb_s,safe,mandatory_deadline_misses,mandatory_min_service_pct,background_service_pct,published_frames,failed_captures,replay_safe_frames,replay_underruns,video_min_slack_us,video_max_wait_us,audio_deadline_misses,effective_mb_s,dq_util_pct,observed_idle_mb_s,unserved_words,dq_turnarounds,activates
100.0,board-acceptance,chip-row-bank-column,1080p16,1920,1080,16,capture,write,2048,20.48,0.0,0,8274,0.0,100,0,1,0,0,-3481.11,3511.47,200,196.82923873169548,98.41461936584774,3.170761268304507,436557,400,8333
100.0,board-acceptance,linear,1080p16,1920,1080,16,capture,write,2048,20.48,0.0,0,8075,78.46272183641975,100,0,1,0,0,-3574.9,3605.25,0,195.6244382497753,97.81221912488765,4.3755617502247,446597,400,4224
100.0,board-acceptance,row-bank-chip-column,1080p16,1920,1080,16,capture,write,2048,20.48,0.0,0,8273,0.0,100,0,1,0,0,-3296.6,3326.96,200,199.58779983511994,99.79389991755997,0.41220016488006594,413569,400,9118
100.0,board-acceptance,row-chip-bank-column,1080p16,1920,1080,16,capture,write,2048,20.48,0.0,0,8074,79.51929012345678,100,0,1,0,0,-3399.07,3429.42,0,198.2529245423962,99.1264622711981,1.7470754576038103,424688,400,8322
100.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,capture,write,2048,20.48,0.0,0,8273,0.0,100,0,1,0,0,-3340.6,3370.92,200,198.93127957251184,99.46563978625592,1.068720427488171,419040,400,13973
100.0,board-acceptance,stripe-1k-chip-bank,1080p16,1920,1080,16,capture,write,2048,20.48,0.0,0,8073,79.78973765432099,100,0,1,0,0,-3353.66,3384.02,0,198.92636021472796,99.46318010736398,1.073639785272043,419080,400,13871
100.0,board-acceptance,chip-row-bank-column,1080p16,1920,1080,16,replay,write,2048,20.48,0.0,0,8371,16.5,100,0,0,0,8068,-3502.75,3516.62,303,196.4083985633594,98.2041992816797,3.5916014366405746,440064,2,8124
100.0,board-acceptance,linear,1080p16,1920,1080,16,replay,write,2048,20.48,0.0,0,8067,78.22911844135803,100,0,0,0,8067,-3611.65,3625.52,0,195.0431580172632,97.5215790086316,4.956841982736793,451441,354,4427
100.0,board-acceptance,row-bank-chip-column,1080p16,1920,1080,16,replay,write,2048,20.48,0.0,0,8369,16.5,100,0,0,0,8066,-3279.3,3293.17,303,199.74979989991996,99.87489994995998,0.25020010008004,412219,2,8905
100.0,board-acceptance,row-chip-bank-column,1080p16,1920,1080,16,replay,write,2048,20.48,0.0,0,8068,79.4925250771605,100,0,0,0,8068,-3401.05,3414.92,0,198.18632471555574,99.09316235777787,1.8136752844442605,425243,336,8550
100.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,replay,write,2048,20.48,0.0,0,8369,16.5,100,0,0,0,8066,-3308.57,3322.26,303,199.316122188409,99.6580610942045,0.6838778115910029,415827,2,14009
100.0,board-acceptance,stripe-1k-chip-bank,1080p16,1920,1080,16,replay,write,2048,20.48,0.0,0,8189,39.0,100,0,0,0,8067,-3333.31,3347.18,122,199.08343963337586,99.54171981668793,0.9165603666241466,417772,92,14190
100.0,board-acceptance,chip-row-bank-column,1080p8,1920,1080,8,capture,write,2048,20.48,0.0,1,0,100.0,100,1,0,0,0,24.81,23.63,0,124.80004992001997,62.400024960009986,75.19995007998003,0,399,3354
100.0,board-acceptance,linear,1080p8,1920,1080,8,capture,write,2048,20.48,0.0,1,0,100.0,100,1,0,0,0,29.0,23.78,0,124.80004992001997,62.400024960009986,75.19995007998003,0,399,3323
100.0,board-acceptance,row-bank-chip-column,1080p8,1920,1080,8,capture,write,2048,20.48,0.0,1,0,100.0,100,1,0,0,0,24.77,21.88,0,124.80004992001997,62.400024960009986,75.19995007998003,0,399,3353
100.0,board-acceptance,row-chip-bank-column,1080p8,1920,1080,8,capture,write,2048,20.48,0.0,1,0,100.0,100,1,0,0,0,24.81,23.63,0,124.80004992001997,62.400024960009986,75.19995007998003,0,399,3347
