frequency_mhz,qualification,mapping,format,mode,background_direction,max_tested_safe_background_mb_s,first_tested_unsafe_background_mb_s
100.0,board-acceptance,chip-row-bank-column,1080p16,capture,write,,0.0
100.0,board-acceptance,chip-row-bank-column,1080p16,replay,write,,0.0
100.0,board-acceptance,chip-row-bank-column,1080p8,capture,write,0.0,
100.0,board-acceptance,chip-row-bank-column,1080p8,replay,write,0.0,
100.0,board-acceptance,chip-row-bank-column,720p16,capture,write,0.0,
100.0,board-acceptance,chip-row-bank-column,720p16,replay,write,0.0,
100.0,board-acceptance,linear,1080p16,capture,write,,0.0
100.0,board-acceptance,linear,1080p16,replay,write,,0.0
100.0,board-acceptance,linear,1080p8,capture,write,0.0,
100.0,board-acceptance,linear,1080p8,replay,write,0.0,
100.0,board-acceptance,linear,720p16,capture,write,0.0,
100.0,board-acceptance,linear,720p16,replay,write,0.0,
100.0,board-acceptance,row-bank-chip-column,1080p16,capture,write,,0.0
100.0,board-acceptance,row-bank-chip-column,1080p16,replay,write,,0.0
100.0,board-acceptance,row-bank-chip-column,1080p8,capture,write,0.0,
100.0,board-acceptance,row-bank-chip-column,1080p8,replay,write,0.0,
100.0,board-acceptance,row-bank-chip-column,720p16,capture,write,0.0,
100.0,board-acceptance,row-bank-chip-column,720p16,replay,write,0.0,
100.0,board-acceptance,row-chip-bank-column,1080p16,capture,write,,0.0
100.0,board-acceptance,row-chip-bank-column,1080p16,replay,write,,0.0
100.0,board-acceptance,row-chip-bank-column,1080p8,capture,write,0.0,
100.0,board-acceptance,row-chip-bank-column,1080p8,replay,write,0.0,
100.0,board-acceptance,row-chip-bank-column,720p16,capture,write,0.0,
100.0,board-acceptance,row-chip-bank-column,720p16,replay,write,0.0,
100.0,board-acceptance,stripe-1k-bank-chip,1080p16,capture,write,,0.0
100.0,board-acceptance,stripe-1k-bank-chip,1080p16,replay,write,,0.0
100.0,board-acceptance,stripe-1k-bank-chip,1080p8,capture,write,0.0,
100.0,board-acceptance,stripe-1k-bank-chip,1080p8,replay,write,0.0,
100.0,board-acceptance,stripe-1k-bank-chip,720p16,capture,write,0.0,
100.0,board-acceptance,stripe-1k-bank-chip,720p16,replay,write,0.0,
100.0,board-acceptance,stripe-1k-chip-bank,1080p16,capture,write,,0.0
100.0,board-acceptance,stripe-1k-chip-bank,1080p16,replay,write,,0.0
100.0,board-acceptance,stripe-1k-chip-bank,1080p8,capture,write,0.0,
100.0,board-acceptance,stripe-1k-chip-bank,1080p8,replay,write,0.0,
100.0,board-acceptance,stripe-1k-chip-bank,720p16,capture,write,0.0,
100.0,board-acceptance,stripe-1k-chip-bank,720p16,replay,write,0.0,
120.0,board-acceptance,chip-row-bank-column,1080p16,capture,write,,0.0
120.0,board-acceptance,chip-row-bank-column,1080p16,replay,write,,0.0
120.0,board-acceptance,chip-row-bank-column,1080p8,capture,write,0.0,
