frequency_mhz,qualification,mapping,format,width,height,bits_per_pixel,mode,background_direction,deadline_guard_cycles,deadline_guard_us,background_offered_mb_s,safe,mandatory_deadline_misses,mandatory_min_service_pct,background_service_pct,published_frames,failed_captures,replay_safe_frames,replay_underruns,video_min_slack_us,video_max_wait_us,audio_deadline_misses,effective_mb_s,dq_util_pct,observed_idle_mb_s,unserved_words,dq_turnarounds,activates
100.0,board-acceptance,chip-row-bank-column,1080p16,1920,1080,16,capture,write,2048,20.48,0.0,0,453,0.0,100,0,1,0,0,-195.19,225.43,0,196.858,98.429,3.142,26179,24,501
100.0,board-acceptance,linear,1080p16,1920,1080,16,capture,write,2048,20.48,0.0,0,454,78.48025977366255,100,0,1,0,0,-200.59,230.83,0,195.668,97.834,4.332,26774,24,251
100.0,board-acceptance,row-bank-chip-column,1080p16,1920,1080,16,capture,write,2048,20.48,0.0,0,452,0.0,100,0,1,0,0,-184.03,214.04,0,199.59201631934724,99.79600815967362,0.4079836806527739,24808,24,548
100.0,board-acceptance,row-chip-bank-column,1080p16,1920,1080,16,capture,write,2048,20.48,0.0,0,453,0.0,100,0,1,0,0,-190.8,221.04,0,197.936,98.968,2.064,25640,24,546
100.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,capture,write,2048,20.48,0.0,0,452,0.0,100,0,1,0,0,-186.89,217.21,0,198.95204191832326,99.47602095916163,1.0479580816767329,25128,24,839
100.0,board-acceptance,stripe-1k-chip-bank,1080p16,1920,1080,16,capture,write,2048,20.48,0.0,0,452,0.0,100,0,1,0,0,-187.68,218.04,0,198.66206689665518,99.33103344832759,1.3379331033448327,25272,24,839
100.0,board-acceptance,chip-row-bank-column,1080p16,1920,1080,16,replay,write,2048,20.48,0.0,0,452,8.333333333333334,100,0,0,0,452,-195.38,209.25,0,196.196,98.098,3.804,26510,2,480
100.0,board-acceptance,linear,1080p16,1920,1080,16,replay,write,2048,20.48,0.0,0,453,78.09445730452676,100,0,0,0,453,-202.19,216.06,0,194.708,97.354,5.292,27254,2,242
100.0,board-acceptance,row-bank-chip-column,1080p16,1920,1080,16,replay,write,2048,20.48,0.0,0,451,8.333333333333334,100,0,0,0,451,-182.56,196.08,0,199.49002039918403,99.74501019959202,0.5099796008159674,24859,2,526
100.0,board-acceptance,row-chip-bank-column,1080p16,1920,1080,16,replay,write,2048,20.48,0.0,0,452,25.0,100,0,0,0,452,-190.88,204.27,0,197.456,98.728,2.544,25880,2,521
100.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,replay,write,2048,20.48,0.0,0,450,8.333333333333334,100,0,0,0,450,-183.9,197.77,0,199.15403383864646,99.57701691932323,0.8459661613535459,25027,2,814
100.0,board-acceptance,stripe-1k-chip-bank,1080p16,1920,1080,16,replay,write,2048,20.48,0.0,0,452,16.666666666666668,100,0,0,0,452,-186.21,199.92,0,198.60806959652018,99.30403479826009,1.391930403479826,25299,2,813
100.0,board-acceptance,chip-row-bank-column,1080p8,1920,1080,8,capture,write,2048,20.48,0.0,1,0,100.0,100,1,0,0,0,26.61,21.83,0,124.8,62.4,75.2,0,23,195
100.0,board-acceptance,linear,1080p8,1920,1080,8,capture,write,2048,20.48,0.0,1,0,100.0,100,1,0,0,0,30.21,21.98,0,124.8,62.4,75.2,0,23,187
100.0,board-acceptance,row-bank-chip-column,1080p8,1920,1080,8,capture,write,2048,20.48,0.0,1,0,100.0,100,1,0,0,0,26.61,20.2,0,124.8,62.4,75.2,0,23,194
100.0,board-acceptance,row-chip-bank-column,1080p8,1920,1080,8,capture,write,2048,20.48,0.0,1,0,100.0,100,1,0,0,0,26.61,21.83,0,124.8,62.4,75.2,0,23,197
