frequency_mhz,qualification,mapping,format,width,height,bits_per_pixel,mode,background_direction,scheduler,low_watermark_words,high_watermark_words,video_fifo_words,active_fraction,deadline_guard_cycles,deadline_guard_us,background_offered_mb_s,safe,mandatory_deadline_misses,mandatory_min_service_pct,background_service_pct,published_frames,failed_captures,replay_safe_frames,replay_underruns,video_min_slack_us,video_max_wait_us,audio_deadline_misses,effective_mb_s,dq_util_pct,observed_idle_mb_s,unserved_words,dq_turnarounds,activates
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,90.0,1,0,100.0,100.0,1,0,0,0,2.808333333333333,2700.358333333333,0,200.976,83.74,39.024,0,5778,8279
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,90.0,1,0,100.0,100.0,1,0,0,0,3.6666666666666665,2699.9583333333335,0,200.976,83.74,39.024,0,399,9891
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,90.0,1,0,99.89637586805556,99.94453333333334,0,0,1,0,7.141666666666667,2722.4583333333335,0,200.81097797255507,83.67124082189794,39.189022027444935,1371,336,18153
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,90.0,1,0,99.8955078125,99.94453333333334,0,0,1,0,7.516666666666667,2722.4583333333335,0,200.81052,83.67105,39.18948,1379,2240,16625
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,100.0,1,0,100.0,100.0,1,0,0,0,1.7666666666666666,2699.9583333333335,0,210.97596,87.90665,29.02404,0,6640,8914
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,100.0,1,0,100.0,100.0,1,0,0,0,2.3583333333333334,2699.9583333333335,0,210.97596,87.90665,29.02404,0,399,11886
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,100.0,1,0,99.89561631944444,99.93795997518399,0,0,1,0,3.775,2722.4583333333335,0,210.79848,87.8327,29.20152,1479,336,21498
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,100.0,1,0,99.89463975694444,99.93795997518399,0,0,1,0,8.058333333333334,2722.4583333333335,0,210.7974,87.83225,29.2026,1488,2290,19907
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,110.0,0,3574,100.0,100.0,0,1,0,0,-700.3583333333333,2701.3166666666666,0,220.97592,92.0733,19.02408,0,7752,10066
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,110.0,0,168,100.0,100.0,0,1,0,0,-23.666666666666668,2699.975,0,220.97592,92.0733,19.02408,0,399,35790
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,110.0,0,1728,99.89496527777777,99.9421817761322,0,0,0,1728,-140.49166666666667,2722.516666666667,0,220.79616,91.9984,19.20384,1498,326,131316
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,110.0,0,138,99.87348090277777,99.96072724416527,0,0,0,138,-13.766666666666667,2722.5,0,220.7928,91.997,19.2072,1526,1998,47118
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,120.0,0,3584,100.0,100.0,0,1,0,0,-1996.6,2704.0916666666667,0,230.976,96.24,9.024,0,8979,13924
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,120.0,0,278,100.0,100.0,0,1,0,0,-29.016666666666666,2699.9583333333335,0,230.976,96.24,9.024,0,399,41540
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,120.0,0,1747,99.89474826388889,99.4264,0,0,0,1747,-126.30833333333334,2722.508333333333,0,230.17128,95.9047,9.82872,6706,318,141935
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,120.0,0,142,99.8955078125,99.944,0,0,0,142,-14.533333333333333,2722.4583333333335,0,230.79324,96.16385,9.20676,1523,1988,48612
