frequency_mhz,qualification,mapping,format,width,height,bits_per_pixel,mode,background_direction,scheduler,low_watermark_words,high_watermark_words,video_fifo_words,active_fraction,deadline_guard_cycles,deadline_guard_us,background_offered_mb_s,safe,mandatory_deadline_misses,mandatory_min_service_pct,background_service_pct,published_frames,failed_captures,replay_safe_frames,replay_underruns,video_min_slack_us,video_max_wait_us,audio_deadline_misses,effective_mb_s,dq_util_pct,observed_idle_mb_s,unserved_words,dq_turnarounds,activates
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,watermark,512,1536,2048,0.8378181818181818,4096,40.96,62.0,1,0,100.0,100.0,1,0,0,0,1.92,2693.51,0,172.97598919039567,86.48799459519783,27.024010809604324,0,4564,8938
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,watermark,512,1536,2048,0.8378181818181818,4096,40.96,62.0,1,0,100.0,100.0,1,0,0,0,2.69,2693.15,0,172.97598919039567,86.48799459519783,27.024010809604324,0,399,21388
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,watermark,512,1536,2048,0.8378181818181818,4096,40.96,62.0,1,0,99.87120225694444,99.94541928441198,0,0,1,0,6.36,2722.46,0,172.79908704292146,86.39954352146073,27.200912957078536,1469,336,20922
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,watermark,512,1536,2048,0.8378181818181818,4096,40.96,62.0,1,0,99.87033420138889,99.94541928441198,0,0,1,0,6.13,2722.46,0,172.79833440333118,86.39916720166559,27.201665596668807,1477,2274,22628
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,watermark,512,1536,2048,0.8378181818181818,4096,40.96,64.0,1,0,100.0,100.0,1,0,0,0,1.75,2693.16,0,174.976029990412,87.488014995206,25.023970009588005,0,4790,8798
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,watermark,512,1536,2048,0.8378181818181818,4096,40.96,64.0,1,0,100.0,100.0,1,0,0,0,2.49,2693.14,0,174.976029990412,87.488014995206,25.023970009588005,0,399,21734
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,watermark,512,1536,2048,0.8378181818181818,4096,40.96,64.0,1,0,99.87120225694444,99.93906246191403,0,0,1,0,6.47,2722.46,0,174.79417041165917,87.39708520582958,25.205829588340823,1512,336,22028
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,watermark,512,1536,2048,0.8378181818181818,4096,40.96,64.0,1,0,99.87044270833333,99.93906246191403,0,0,1,0,7.23,2722.46,0,174.79374991749998,87.39687495874999,25.206250082500034,1519,2294,24930
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,watermark,512,1536,2048,0.8378181818181818,4096,40.96,66.0,0,3526,100.0,100.0,0,1,0,0,-178.82,2694.57,0,176.9760707904283,88.48803539521415,23.023929209571683,0,4998,8730
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,watermark,512,1536,2048,0.8378181818181818,4096,40.96,66.0,1,0,100.0,100.0,1,0,0,0,2.24,2693.16,0,176.9760707904283,88.48803539521415,23.023929209571683,0,399,25140
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,watermark,512,1536,2048,0.8378181818181818,4096,40.96,66.0,1,0,99.87120225694444,99.93890909090909,0,0,1,0,5.95,2722.46,0,176.79267426344236,88.39633713172118,23.207325736557642,1523,336,26801
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,watermark,512,1536,2048,0.8378181818181818,4096,40.96,66.0,1,0,99.87033420138889,99.93890909090909,0,0,1,0,5.71,2722.46,0,176.79192641614716,88.39596320807358,23.208073583852833,1531,2510,27591
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,watermark,512,1536,2048,0.8378181818181818,4096,40.96,68.0,0,3564,100.0,100.0,0,1,0,0,-399.14,2695.19,0,178.97599159039663,89.48799579519832,21.024008409603365,0,5206,9774
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,watermark,512,1536,2048,0.8378181818181818,4096,40.96,68.0,0,2731,100.0,100.0,0,1,0,0,-106.64,2693.17,0,178.97599159039663,89.48799579519832,21.024008409603365,0,399,69074
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,watermark,512,1536,2048,0.8378181818181818,4096,40.96,68.0,0,1670,99.87044270833333,99.93611757190303,0,0,0,1670,-90.81,2722.46,0,178.7892715157086,89.3946357578543,21.210728484291394,1556,330,123031
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,watermark,512,1536,2048,0.8378181818181818,4096,40.96,68.0,0,1864,99.87033420138889,99.93611757190303,0,0,0,1864,-107.66,2722.46,0,178.78872242255517,89.39436121127758,21.211277577444847,1557,2524,67977
