frequency_mhz,qualification,mapping,format,width,height,bits_per_pixel,mode,background_direction,scheduler,low_watermark_words,high_watermark_words,video_fifo_words,deadline_guard_cycles,deadline_guard_us,background_offered_mb_s,safe,mandatory_deadline_misses,mandatory_min_service_pct,background_service_pct,published_frames,failed_captures,replay_safe_frames,replay_underruns,video_min_slack_us,video_max_wait_us,audio_deadline_misses,effective_mb_s,dq_util_pct,observed_idle_mb_s,unserved_words,dq_turnarounds,activates
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,watermark,512,1536,2048,4096,31.50769230769231,140.0,0,2,99.9453125,99.97625712928979,0,1,0,0,0.46923076923076923,66.74615384615385,0,250.88204561104885,96.49309446578802,9.117954388951146,781,10082,11122
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,watermark,512,1536,2048,4096,31.50769230769231,140.0,1,0,100.0,99.88805707888976,1,0,0,0,4.846153846153846,67.25384615384615,0,250.81869836260327,96.46873013946279,9.181301637396725,1306,399,13485
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,watermark,512,1536,2048,4096,31.50769230769231,140.0,1,0,99.94444444444444,99.92662852950201,0,0,1,0,6.769230769230769,28.03846153846154,0,250.81183717287297,96.46609122033576,9.188162827127023,1368,336,19609
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,watermark,512,1536,2048,4096,31.50769230769231,140.0,1,0,99.94444444444444,99.91582852333059,0,0,1,0,9.807692307692308,25.115384615384617,0,250.79671716822068,96.46027583393102,9.203282831779333,1494,3011,22945
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,watermark,512,1536,2048,6144,47.261538461538464,140.0,0,2,99.9453125,99.97625712928979,0,1,0,0,0.46923076923076923,66.74615384615385,0,250.88204561104885,96.49309446578802,9.117954388951146,781,10082,11122
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,watermark,512,1536,2048,6144,47.261538461538464,140.0,1,0,100.0,99.90108565776323,1,0,0,0,4.846153846153846,67.25384615384615,0,250.8375171807745,96.47596814645173,9.162482819225483,1154,399,13499
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,watermark,512,1536,2048,6144,47.261538461538464,140.0,1,0,99.94444444444444,99.92662852950201,0,0,1,0,6.769230769230769,28.03846153846154,0,250.81183717287297,96.46609122033576,9.188162827127023,1368,336,19609
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,watermark,512,1536,2048,6144,47.261538461538464,140.0,1,0,99.94444444444444,99.91582852333059,0,0,1,0,9.807692307692308,25.115384615384617,0,250.79671716822068,96.46027583393102,9.203282831779333,1494,3011,22945
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,watermark,512,1536,2048,8192,63.01538461538462,140.0,0,2,99.9453125,99.97625712928979,0,1,0,0,0.46923076923076923,66.74615384615385,0,250.88204561104885,96.49309446578802,9.117954388951146,781,10082,11122
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,watermark,512,1536,2048,8192,63.01538461538462,140.0,1,0,100.0,99.90108565776323,1,0,0,0,4.846153846153846,67.25384615384615,0,250.8375171807745,96.47596814645173,9.162482819225483,1154,399,13494
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,watermark,512,1536,2048,8192,63.01538461538462,140.0,1,0,99.94444444444444,99.92662852950201,0,0,1,0,6.769230769230769,28.03846153846154,0,250.81183717287297,96.46609122033576,9.188162827127023,1368,336,19609
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,watermark,512,1536,2048,8192,63.01538461538462,140.0,1,0,99.94444444444444,99.91582852333059,0,0,1,0,9.807692307692308,25.115384615384617,0,250.79671716822068,96.46027583393102,9.203282831779333,1494,3011,22945
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,watermark,512,1536,2048,12288,94.52307692307693,140.0,0,2,99.9453125,99.97625712928979,0,1,0,0,0.46923076923076923,66.74615384615385,0,250.88204561104885,96.49309446578802,9.117954388951146,781,10082,11122
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,watermark,512,1536,2048,12288,94.52307692307693,140.0,1,0,100.0,99.88874279356732,1,0,0,0,4.846153846153846,67.25384615384615,0,250.8196583606833,96.46909936949356,9.18034163931672,1298,399,13796
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,watermark,512,1536,2048,12288,94.52307692307693,140.0,1,0,99.94444444444444,99.92662852950201,0,0,1,0,6.769230769230769,28.03846153846154,0,250.81183717287297,96.46609122033576,9.188162827127023,1368,336,19609
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,watermark,512,1536,2048,12288,94.52307692307693,140.0,1,0,99.94444444444444,99.91582852333059,0,0,1,0,9.807692307692308,25.115384615384617,0,250.79671716822068,96.46027583393102,9.203282831779333,1494,3011,22945
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,watermark,512,1536,2048,16384,126.03076923076924,140.0,0,2,99.9453125,99.97625712928979,0,1,0,0,0.46923076923076923,66.74615384615385,0,250.88204561104885,96.49309446578802,9.117954388951146,781,10082,11122
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,watermark,512,1536,2048,16384,126.03076923076924,140.0,1,0,100.0,99.91891423937956,1,0,0,0,4.846153846153846,67.25384615384615,0,250.8620140584399,96.48539002247689,9.137985941560089,946,399,13568
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,watermark,512,1536,2048,16384,126.03076923076924,140.0,1,0,99.94444444444444,99.92662852950201,0,0,1,0,6.769230769230769,28.03846153846154,0,250.81183717287297,96.46609122033576,9.188162827127023,1368,336,19609
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,watermark,512,1536,2048,16384,126.03076923076924,140.0,1,0,99.94444444444444,99.91582852333059,0,0,1,0,9.807692307692308,25.115384615384617,0,250.79671716822068,96.46027583393102,9.203282831779333,1494,3011,22945
