frequency_mhz,qualification,mapping,format,width,height,bits_per_pixel,mode,background_direction,scheduler,low_watermark_words,high_watermark_words,video_fifo_words,active_fraction,deadline_guard_cycles,deadline_guard_us,background_offered_mb_s,safe,mandatory_deadline_misses,mandatory_min_service_pct,background_service_pct,published_frames,failed_captures,replay_safe_frames,replay_underruns,video_min_slack_us,video_max_wait_us,audio_deadline_misses,effective_mb_s,dq_util_pct,observed_idle_mb_s,unserved_words,dq_turnarounds,activates
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,watermark,256,1024,2048,0.8378181818181818,4096,31.50769230769231,120.0,1,0,100.0,100.0,1,0,0,0,1.5923076923076922,2703.0923076923077,0,230.97607106956033,88.83695041136936,29.02392893043967,0,7760,10485
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,watermark,256,1024,2048,0.8378181818181818,4096,31.50769230769231,120.0,1,0,100.0,100.0,1,0,0,0,11.392307692307693,2702.576923076923,0,230.97607106956033,88.83695041136936,29.02392893043967,0,399,11945
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,watermark,256,1024,2048,0.8378181818181818,4096,31.50769230769231,120.0,1,0,99.85904947916667,99.9664,0,0,1,0,2.169230769230769,2726.3307692307694,0,230.77955146817536,88.76136594929821,29.22044853182466,1635,336,16859
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,watermark,256,1024,2048,0.8378181818181818,4096,31.50769230769231,120.0,1,0,99.85904947916667,99.9664,0,0,1,0,3.146153846153846,2726.3307692307694,0,230.77955146817536,88.76136594929821,29.22044853182466,1635,2544,17045
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,watermark,512,1024,2048,0.8378181818181818,4096,31.50769230769231,120.0,1,0,100.0,100.0,1,0,0,0,1.5923076923076922,2703.0923076923077,0,230.97607106956033,88.83695041136936,29.02392893043967,0,7770,10559
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,watermark,512,1024,2048,0.8378181818181818,4096,31.50769230769231,120.0,1,0,100.0,100.0,1,0,0,0,11.392307692307693,2702.576923076923,0,230.97607106956033,88.83695041136936,29.02392893043967,0,399,11588
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,watermark,512,1024,2048,0.8378181818181818,4096,31.50769230769231,120.0,1,0,99.88888888888889,99.9618,0,0,1,0,7.461538461538462,2722.4538461538464,0,230.80735101764645,88.77205808371018,29.192648982353532,1406,336,15155
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,watermark,512,1024,2048,0.8378181818181818,4096,31.50769230769231,120.0,1,0,99.88888888888889,99.9613,0,0,1,0,7.584615384615384,2722.4538461538464,0,230.80675101746186,88.7718273144084,29.193248982538147,1411,2865,14304
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,watermark,512,1536,2048,0.8378181818181818,4096,31.50769230769231,120.0,1,0,100.0,100.0,1,0,0,0,1.5923076923076922,2703.0923076923077,0,230.97607106956033,88.83695041136936,29.02392893043967,0,7798,10380
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,watermark,512,1536,2048,0.8378181818181818,4096,31.50769230769231,120.0,1,0,100.0,100.0,1,0,0,0,3.6384615384615384,2702.576923076923,0,230.97607106956033,88.83695041136936,29.02392893043967,0,399,13451
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,watermark,512,1536,2048,0.8378181818181818,4096,31.50769230769231,120.0,1,0,99.90852864583333,99.944,0,0,1,0,4.553846153846154,2722.4538461538464,0,230.80739143819383,88.77207363007456,29.192608561806164,1403,336,22635
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,watermark,512,1536,2048,0.8378181818181818,4096,31.50769230769231,120.0,1,0,99.90776909722223,99.944,0,0,1,0,7.476923076923077,2722.4538461538464,0,230.80687101749876,88.77187346826877,29.193128982501225,1410,2234,17508
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,watermark,768,1536,2048,0.8378181818181818,4096,31.50769230769231,120.0,1,0,100.0,100.0,1,0,0,0,1.5923076923076922,2703.0923076923077,0,230.97607106956033,88.83695041136936,29.02392893043967,0,7786,10281
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,watermark,768,1536,2048,0.8378181818181818,4096,31.50769230769231,120.0,1,0,100.0,100.0,1,0,0,0,3.6384615384615384,2702.576923076923,0,230.97607106956033,88.83695041136936,29.02392893043967,0,399,11995
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,watermark,768,1536,2048,0.8378181818181818,4096,31.50769230769231,120.0,1,0,99.94444444444444,99.9377,0,0,1,0,11.1,2718.576923076923,0,230.83987102765263,88.7845657798664,29.160128972347376,1135,336,16854
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,watermark,768,1536,2048,0.8378181818181818,4096,31.50769230769231,120.0,1,0,99.94444444444444,99.9376,0,0,1,0,11.353846153846154,2718.576923076923,0,230.8397510276157,88.78451962600604,29.1602489723843,1136,2591,18058
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,watermark,768,1792,2048,0.8378181818181818,4096,31.50769230769231,120.0,0,81,100.0,100.0,0,1,0,0,-1.4,2703.0923076923077,0,230.97607106956033,88.83695041136936,29.02392893043967,0,7770,11239
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,watermark,768,1792,2048,0.8378181818181818,4096,31.50769230769231,120.0,0,3,100.0,100.0,0,1,0,0,-2.0692307692307694,2702.576923076923,0,230.97607106956033,88.83695041136936,29.02392893043967,0,399,14139
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,watermark,768,1792,2048,0.8378181818181818,4096,31.50769230769231,120.0,1,0,99.96712239583333,99.9168,0,0,1,0,7.230769230769231,2718.576923076923,0,230.83987102765263,88.7845657798664,29.160128972347376,1135,336,24014
130,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,watermark,768,1792,2048,0.8378181818181818,4096,31.50769230769231,120.0,1,0,99.96712239583333,99.9168,0,0,1,0,11.476923076923077,2718.576923076923,0,230.83987102765263,88.7845657798664,29.160128972347376,1135,2244,17822
